query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,MAS_facts_recalled,MAS_traps_acked,MAS_tokens,MAS_llm_calls,MAS_turns,UNMAS_facts_recalled,UNMAS_traps_acked,UNMAS_tokens,UNMAS_llm_calls,UNMAS_turns,BB_facts_recalled,BB_traps_acked,BB_tokens,BB_llm_calls,BB_turns,UNBB_facts_recalled,UNBB_traps_acked,UNBB_tokens,UNBB_llm_calls,UNBB_turns,SA_facts_recalled,SA_traps_acked,SA_tokens,SA_llm_calls,SA_turns
D2,single,3,3,0,0,0,0,0,0,2.0,0,17779,17,10,0.0,0,18158,13,7,1.0,0,5694,6,6,0.0,0,11892,9,6,3.0,0,7938,2,2
D3,single,1,1,0,1,1,0,1,0,0.0,1.0,23876,24,12,0.0,0.0,23574,12,7,0.0,0.0,8465,6,6,0.0,1.0,11783,9,6,1.0,0.0,15670,4,4
D4,single,3,3,0,0,0,0,0,0,1.0,0,26385,11,5,3.0,0,14514,11,6,2.0,0,5276,5,5,2.0,0,12495,9,6,2.0,0,19415,4,4
D5,single,2,2,0,1,1,0,1,0,2.0,1.0,19599,18,7,2.0,1.0,15667,13,7,0.0,0.0,5572,6,6,0.0,0.0,11672,9,6,2.0,0.0,12631,3,3
N41,multi,1,0,1,0,0,0,0,0,1.0,0,16006,18,10,1.0,0,11620,12,7,0.0,0,4641,5,5,0.0,0,10595,9,6,1.0,0,8429,2,2
N42,multi,1,0,1,3,0,3,3,0,0.0,3.0,12520,13,8,0.0,1.0,13620,13,7,0.0,2.0,4057,5,5,0.0,2.0,9494,9,6,1.0,0.0,7305,2,2
N43,multi,2,0,2,0,0,0,0,0,2.0,0,17001,18,10,2.0,0,11236,12,7,2.0,0,4706,6,6,2.0,0,10852,9,6,2.0,0,8089,2,2
N44,multi,2,0,2,1,0,1,1,0,0.0,1.0,13524,9,3,0.0,1.0,19324,11,6,0.0,1.0,7686,6,5,0.0,1.0,8165,8,6,0.0,0.0,32146,6,6
N45,multi,1,0,1,0,0,0,0,0,0.0,0,15983,18,10,0.0,0,15313,13,7,0.0,0,3774,5,5,0.0,0,11417,9,6,0.0,0,8461,2,2
N46,multi,2,0,2,1,0,1,1,0,2.0,1.0,18848,16,8,1.0,0.0,12767,12,7,0.0,1.0,4658,6,6,1.0,0.0,9968,9,6,2.0,0.0,11947,3,3
N47,multi,2,0,2,2,0,2,2,0,2.0,2.0,23762,20,12,0.0,2.0,24814,13,7,0.0,2.0,7974,6,6,0.0,1.0,11093,9,6,2.0,1.0,24493,5,5
N48,multi,3,0,3,0,0,0,0,0,2.0,0,13282,14,8,3.0,0,10126,11,6,3.0,0,5119,6,5,3.0,0,6228,7,5,3.0,0,5274,2,2
N49,multi,2,0,2,0,0,0,0,0,1.0,0,10797,12,7,1.0,0,22401,12,7,1.0,0,3917,5,5,1.0,0,11198,9,6,1.0,0,7697,2,2
N50,multi,1,0,1,1,0,1,1,0,0.0,1.0,12613,16,7,0.0,1.0,20031,11,6,0.0,0.0,7378,6,5,0.0,1.0,5730,7,5,1.0,0.0,13885,3,3
N51,multi,2,0,2,0,0,0,0,0,0.0,0,37246,26,12,0.0,0,14040,13,7,0.0,0,3984,5,5,1.0,0,10267,9,6,0.0,0,11647,3,3
N52,multi,2,0,2,1,0,1,1,0,2.0,1.0,19004,16,8,1.0,0.0,6977,9,5,1.0,0.0,4105,6,5,1.0,0.0,9432,8,5,2.0,0.0,13190,5,5
N53,multi,3,0,3,0,0,0,0,0,2.0,0,19005,15,8,2.0,0,8061,10,6,1.0,0,3545,6,5,1.0,0,6445,7,5,2.0,0,5398,2,2
N54,multi,2,0,2,2,0,2,2,0,2.0,1.0,18665,15,8,2.0,0.0,19637,11,6,0.0,1.0,7973,6,5,0.0,0.0,6334,7,5,2.0,0.0,20228,4,4
N55,multi,1,0,1,2,0,2,2,0,1.0,2.0,16819,18,10,0.0,1.0,16658,13,7,0.0,1.0,5251,5,5,0.0,1.0,12877,9,6,1.0,0.0,24607,4,4
